Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Sound pressure level (dB),Attitude x (m/s^2),Attitude y (m/s^2),Attitude z (m/s^2),Absolute Attitude (m/s^2),Tilt up/down (deg)_x,Tilt left/right (deg)_x,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute Linear acceleration (m/s^2),Event,PositionX,PositionY,Inclination (deg),Rotation (deg),Tilt up/down (deg)_y,Tilt left/right (deg)_y,Tilt up/down (deg),Tilt left/right (deg),isDistracted,Absolute acceleration (m/s^2)_temp_mean_ws_5,Sound pressure level (dB)_temp_mean_ws_5,Absolute Attitude (m/s^2)_temp_mean_ws_5,Absolute (rad/s)_temp_mean_ws_5,Absolute Linear acceleration (m/s^2)_temp_mean_ws_5,Inclination (deg)_temp_mean_ws_5,Rotation (deg)_temp_mean_ws_5,Absolute acceleration (m/s^2)_temp_mean_ws_60,Sound pressure level (dB)_temp_mean_ws_60,Absolute Attitude (m/s^2)_temp_mean_ws_60,Absolute (rad/s)_temp_mean_ws_60,Absolute Linear acceleration (m/s^2)_temp_mean_ws_60,Inclination (deg)_temp_mean_ws_60,Rotation (deg)_temp_mean_ws_60
0.0,-1.228126866,1.037803415,9.731263733,9.863205633,-72.21046941,-1.228126866,1.037803415,9.731263733,9.863205633,6.087375192,-7.192943324,-1.0,-1.0,-1.0,-1.0,10.0,10.0,10.0,10.0,0.0001024125108,-7.547232627e-05,0.0001382329591,0.0001878636351,-0.005495664462,0.005640804723,0.0524171848,0.05300549281,1.0,817.0,765.0,9.382212869,-49.80120444,139.8012044,97.19294332,83.9126248,-49.80120444,0,,,,,,,,,,,,,,
1.0,-1.2432880985,1.0725959955,9.7289039345,9.866588876,-65.53690507,-1.2432880985,1.0725959955,9.7289039345,9.866588876,6.2914108495,-7.282557434,297.0,287.0,349.8333333333333,281.5,20.0,20.0,20.0,20.0,0.0023450893236,0.0064613236105,0.021559380719,0.0237602163485,-0.012280812445,0.0168898486599999,0.0540035538099999,0.0642152733699999,24.0,966.1666666666666,519.4166666666666,9.581425108,-49.23378018,139.23378015,97.28255743,83.70858914499999,-49.23378018,0,,,,,,,,,,,,,,
2.0,-1.294634265,1.039839114,9.7247361305,9.8655256555,-68.122786235,-1.294634265,1.039839114,9.7247361305,9.8655256555,6.103297676,-7.583083546499999,300.0,267.7142857142857,361.0,261.35714285714283,19.0,19.0,19.0,19.0,-0.0089712446755,-0.00104394111,0.00730241379,0.029945327955,0.0018246981675,-0.0077971682,0.057485169455,0.06152215789,14.0,846.4285714285714,479.8571428571428,9.690280016,-51.222103595,141.2221036,97.58308354,83.896702315,-51.222103595,0,,,,,,,,,,,,,,
3.0,-1.2813530595,1.00258423305,9.7320914235,9.867162019,-68.512381345,-1.2813530595,1.00258423305,9.7320914235,9.867162019,5.8817566825,-7.50057822,310.2352941176471,278.2352941176471,380.2352941176471,271.7647058823529,19.0,19.0,19.0,19.0,-0.00102399365865,0.003812252963,-0.00364482032345,0.0063042264665,-0.0076215718735,0.000904410199,0.056906295105,0.05789047916,18.0,655.8888888888889,374.55555555555554,9.4910643505,-51.956885674999995,141.95688565,97.500578215,84.118243315,-51.956885674999995,0,,,,,,,,,,,,,,
4.0,-1.2725170225000002,0.99423541795,9.7314207595,9.864503631,-71.848167845,-1.2725170225000002,0.99423541795,9.7314207595,9.864503631,5.8335300725,-7.449947782,324.84615384615387,275.3076923076923,394.0769230769231,269.0769230769231,18.0,18.0,18.0,18.0,0.0010639142345,-0.0047213735625,-0.004676117548,0.00703665342,-0.008336981572,0.0007128665925,0.053832304915,0.054539563395,27.0,631.1851851851852,314.22222222222223,9.422066629,-51.998259925,141.99825994999998,97.44994778,84.16646992,-51.998259925,0,9.865397162899999,-69.24614198100001,9.865397162899999,0.01344685756502,0.058234593324999986,9.513409794500001,-50.842446763,,,,,,,
5.0,-1.2457154035,0.99936005535,9.734537807,9.864672189,-75.49586049499999,-1.2457154035,0.99936005535,9.734537807,9.864672189,5.861522819499999,-7.292428529,328.8888888888889,272.55555555555554,396.94444444444446,266.72222222222223,19.0,19.0,19.0,19.0,0.0003718301818,-0.0013011374728,-0.0010261267845,0.00171282928695,-0.0058499171235,0.00246860631,0.0543907484049999,0.054775694385,0.0,0.0,0.0,9.316887037,-51.26205938,141.2620594,97.292428525,84.13847717499999,-51.26205938,0,9.8656904741,-69.90322019800001,9.8656904741,0.01375185069539,0.05858863363999998,9.5003446281,-51.13461775099999,,,,,,,
6.0,-1.2429828509999998,0.9956002269,9.7365204485,9.865903859,-75.80735788000001,-1.2429828509999998,0.9956002269,9.7365204485,9.865903859,5.8384424015,-7.275137231,312.3157894736842,271.05263157894734,381.5263157894737,265.2105263157895,19.0,19.0,19.0,19.0,-3.847000694e-05,-0.0005015309206,-0.0010125271989,0.0011401297789,-0.009892826773,-0.001009714539725,0.055376141825,0.05627027345,2.0,680.0,319.5,9.2893251095,-51.306063025,141.30606304999998,97.27513723,84.161557595,-51.306063025,0,9.8655534707,-71.95731076,9.8655534707,0.00922783338147,0.056999633656000005,9.4419246284,-51.54907432,,,,,,,
7.0,-1.241973186,0.9942398206,9.7354961085,9.864629019,-74.91231977,-1.241973186,0.9942398206,9.7354961085,9.864629019,5.8311292525,-7.270047523500001,314.2,269.05,382.65,263.9,20.0,20.0,20.0,20.0,-0.0001850881244,-0.0001547009395,-0.001282812313,0.0034950768114999,-0.0101825892709999,-0.00104964113425,0.054425780105,0.05549929944,44.0,720.6590909090909,599.1136363636364,9.2808913955,-51.321597725,141.32159769999998,97.27004752,84.16887074499999,-51.321597725,0,9.8653741434,-73.315217467,9.8653741434,0.00393778315276998,0.055795061965999995,9.3600469043,-51.568973146,,,,,,,
8.0,-1.2400668555,0.9938068973,9.7371162685,9.865944783,-73.468797665,-1.2400668555,0.9938068973,9.7371162685,9.865944783,5.8276443265,-7.257811975499999,318.95,270.15,386.9,265.75,20.0,20.0,20.0,20.0,4.836150424999997e-06,7.380650609999995e-05,-0.0003037681169,0.0010772586784999,-0.0099856305405,-0.00080366253,0.055212815335,0.056203830765,22.0,892.5454545454545,1068.909090909091,9.2693210735,-51.290909485,141.29090945000002,97.25781197,84.17235567,-51.290909485,0,9.865130696200001,-74.306500731,9.865130696200001,0.0028923895951699597,0.055457732286999996,9.3156982489,-51.435777908,,,,,,,
9.0,-1.2356348955,0.9939463133,9.738096583,9.8663703895,-75.269500445,-1.2356348955,0.9939463133,9.738096583,9.8663703895,5.8278767264999995,-7.231428284,310.0,277.1764705882353,379.0,270.94117647058823,20.0,20.0,20.0,20.0,0.0001798098536849,-9.349882189999998e-05,1.2637264400000017e-05,0.0008264335715499,-0.0073828256155,-0.0002085392264999,0.056311982955,0.05693901655,1.0,901.0,1065.0,9.249091303,-51.18692626,141.18692625,97.231428275,84.17212327,-51.18692626,0,9.8655040479,-74.990767251,9.8655040479,0.00165034562547994,0.055937622917999995,9.2811031837,-51.273511174999996,,,,,,,
